No,Time (s),Temperature (C),Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
0,165433.24,32.5,0.0063915867,0,-0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
1,165433.25,32.5,0.0085221156,-0.0021305289,-0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
2,165433.25,32.5,0.0085221156,-0.0085221156,-0.0021305289,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
3,165433.25,32.5,0.0031957934,-0.011717909,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
4,165433.25,32.5,0,-0.010652645,-0.0021305289,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
5,165433.25,32.5,-0.0010652645,-0.0010652645,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
6,165433.25,32.5,-0.0042610578,0.0053263223,0.0031957934,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
7,165433.25,32.5,-0.0053263223,0.0063915867,0.0053263223,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
8,165433.25,32.5,-0.0010652645,0.0042610578,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
9,165433.25,32.5,0.0010652645,0.0021305289,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
10,165433.25,32.5,0.0031957934,0.0063915867,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
11,165433.26,32.5,0.0010652645,0.0042610578,-0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
12,165433.26,32.5,-0.0021305289,0,-0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
13,165433.26,32.5,-0.0042610578,-0.0042610578,0.0021305289,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
14,165433.26,32.5,-0.0074568512,-0.0031957934,0.0031957934,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
15,165433.26,32.5,-0.0074568512,-0.0042610578,0.0063915867,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
16,165433.26,32.5,-0.0085221156,-0.0031957934,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
17,165433.26,32.5,-0.0074568512,-0.0021305289,0,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
18,165433.26,32.5,-0.0063915867,0.0031957934,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
19,165433.26,32.5,-0.0010652645,0.0031957934,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
20,165433.26,32.5,0.0010652645,0.0031957934,0,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
21,165433.27,32.5,0.0053263223,0,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
22,165433.27,32.5,0.0021305289,0.0010652645,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
23,165433.27,32.5,-0.0010652645,0.0010652645,-0.0021305289,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
24,165433.27,32.5,-0.0063915867,0.0031957934,-0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
25,165433.27,32.5,-0.0095873801,0.0021305289,0.0010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
26,165433.27,32.5,-0.0074568512,-0.0010652645,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
27,165433.27,32.5,-0.0042610578,-0.0031957934,-0.0085221156,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
28,165433.27,32.5,-0.0021305289,-0.0042610578,-0.010652645,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
29,165433.27,32.5,-0.0042610578,0.0021305289,-0.0042610578,-0.076617189,0.18196583,-10.056006,-0.2265,-1.011,1.6215
30,165433.27,32.5,-0.0053263223,0.0074568512,-0.0010652645,-0.095771484,0.11492579,-10.046429,-0.2265,-1.011,1.6215
31,165433.28,32.5,-0.0053263223,0.011717909,0.0031957934,-0.0095771486,0.12450293,-10.036852,-0.2265,-1.011,1.6215
32,165433.28,32.5,-0.0042610578,0.010652645,0.0021305289,-0.057462893,0.15323438,-10.07516,-0.22050001,-1.011,1.623
33,165433.28,32.5,-0.0031957934,0.0063915867,0.0031957934,-0.057462893,0.15323438,-10.07516,-0.22050001,-1.011,1.623
34,165433.28,32.5,0.0031957934,0.0074568512,0.0021305289,-0.076617189,0.14365722,-10.07516,-0.22050001,-1.011,1.623
35,165433.28,32.5,0.0031957934,0.0053263223,0.0010652645,-0.0095771486,0.17238867,-10.094315,-0.22050001,-1.011,1.623
36,165433.28,32.5,0,0.0010652645,-0.0042610578,-0.047885742,0.13408008,-10.056006,-0.22050001,-1.011,1.623
37,165433.28,32.5,-0.0021305289,-0.0031957934,-0.0063915867,-0.086194336,0.23942871,-10.036852,-0.22050001,-1.011,1.623
38,165433.28,32.5,-0.0042610578,-0.0042610578,-0.0042610578,-0.057462893,0.15323438,-10.094315,-0.22050001,-1.011,1.623
39,165433.28,32.5,-0.0031957934,-0.0031957934,0,-0.047885742,0.12450293,-10.036852,-0.22050001,-1.011,1.623
40,165433.28,32.5,-0.0042610578,-0.0010652645,0.0010652645,-0.076617189,0.20112012,-10.046429,-0.22050001,-1.011,1.623
41,165433.29,32.5,-0.0031957934,0,0.0010652645,-0.10534863,0.18196583,-10.094315,-0.2175,-1.008,1.635
42,165433.29,32.5,-0.0031957934,-0.0021305289,0.0010652645,-0.095771484,0.10534863,-10.103891,-0.2175,-1.008,1.635
43,165433.29,32.5,-0.0042610578,-0.0085221156,0.0031957934,-0.10534863,0.14365722,-10.056006,-0.2175,-1.008,1.635
44,165433.29,32.5,-0.0021305289,-0.0095873801,0.0042610578,-0.038308594,0.15323438,-10.07516,-0.2175,-1.008,1.635
45,165433.29,32.5,-0.0021305289,-0.0074568512,0.0031957934,-0.047885742,0.19154297,-10.07516,-0.2175,-1.008,1.635
46,165433.29,32.5,0.0010652645,-0.0010652645,0,-0.076617189,0.17238867,-10.07516,-0.2175,-1.008,1.635
47,165433.29,32.5,-0.0010652645,0.0031957934,-0.0042610578,-0.067040041,0.17238867,-10.084738,-0.2175,-1.008,1.635
48,165433.29,32.5,-0.0085221156,-0.0021305289,-0.0021305289,-0.047885742,0.19154297,-10.094315,-0.2175,-1.008,1.635
